,Budget Type,Department,Economic Function,Ministry,Non-wage,Non-wage Est,Output,Programme,Sector,Total,Total Est,Vote,Wage,Wage Est
7118,,,,,,,Output:070582 Construction and rehabilitation of Accomodation facilities (BTVET),,,,,,,
7119,,,,,,,,,,,"415,000",,,
7120,,,,,,,,Project  0971 Development of TVET P7 Graduate,,,,,,
7121,,,,,,,"Output:070501 Policies, laws, guidelines plans and strategies",,,,,,,
7122,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"30,000",0,,"30,000",0
7123,,,,,,,Output:070503 Monitoring and Supervision of BTVET Institutions,,,,,,,
7124,,,211103  Allowances,,0,0,,,,"93,000",0,,"93,000",0
7125,,,,,,,Output:070577 Purchase of Specialised Machinery & Equipment,,,,,,,
7126,,,231005  Machinery and Equipment,,0,0,,,,"900,000","900,000",,"900,000","900,000"
7127,,,312206  Gross Tax,,0,0,,,,"150,000","100,000",,"150,000","100,000"
7128,,,,,,,Output:070580 Construction and rehabilitation of learning facilities (BTEVET),,,,,,,
7129,,,,,,,,,,,"80,000",,,
7130,,,,,,,,,Education Sector ,,,,,
7131,,,,,,,Output:070581 Classroom construction and rehabilitation (BTVET) ,,,,,,,
7132,,,,,,,,,,,,Vote:013,,
7133,,,,Ministry of Education and Sports,,,,,,,,,,
7134,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7135,,,,,,,,Project  0971 Development of TVET P7 Graduate,,,,,,
7136,,,231001  Non-Residential Buildings,,0,0,,,,"677,000","677,000",,"677,000","677,000"
7137,,,,,,,Output:070582 Construction and rehabilitation of Accomodation facilities (BTVET),,,,,,,
7138,,,231002  Residential Buildings,,0,0,,,,"300,000","330,000",,"300,000","330,000"
7139,,,,,,,,Project  1093 Nakawa Vocational Training Institute (1093),,,,,,
7140,,,,,,,Output:070572 Government Buildings and Administrative Infrastructure,,,,,,,
7141,,,231001  Non-Residential Buildings,,0,0,,,,"473,000",0,,"473,000",0
7142,,,,,,,"Output:070573 Roads, Streets and Highways",,,,,,,
7143,,,,,,,,,,,"100,000",,,
7144,,,,,,,Output:070577 Purchase of Specialised Machinery & Equipment,,,,,,,
7145,,,231005  Machinery and Equipment,,0,0,,,,"327,000",0,,"327,000",0
7146,,,,,,,Output:070578 Purchase of Office and Residential Furniture and Fittings,,,,,,,
7147,,,,,,,,,,,"277,000",,,
7148,,,,,,,Output:070580 Construction and rehabilitation of learning facilities (BTEVET),,,,,,,
7149,,,,,,,,,,,"636,553",,,
7150,,,,,,,,Project  1270 Support to National Health & Departmental Training Institutions,,,,,,
7151,,,,,,,Output:070572 Government Buildings and Administrative Infrastructure,,,,,,,
7152,,,,,,,,,,,"540,000",,,
7153,,,,,,,Output:070577 Purchase of Specialised Machinery & Equipment,,,,,,,
7154,,,,,,,,,,,"60,000",,,
7155,,,,,,,Output:070580 Construction and rehabilitation of learning facilities (BTEVET),,,,,,,
7156,,,,,,,,,,,"1,959,134",,,
7157,,,,,,,Output:070582 Construction and rehabilitation of Accomodation facilities (BTVET),,,,,,,
7158,,,,,,,,,,,"388,866",,,
7159,,,,,,,,,,,"2,948,000",,,
7160,,,,,,,,,,,"2,948,000",,,
7161,,,,,,,,,,,"2,948,000",,,
7162,,,,,,,,,Education Sector ,,,,,
7163,,,,,,,,,,,,Vote:013,,
7164,,,,Ministry of Education and Sports,,,,,,,,,,
7165,,Vote Function 0705 Skills Development,,,,,,,,,,,,
7166,,,,,,,,,,,Total,,,
7167,,,,,,,,,,"54,166,704",,,,
7168,,,,,,,,,,"53,766,704",,,,
7169,,Vote Function 0706 Quality and Standards,,,,,,,,,,,,
7170,Recurrent Budget Estimates,,,,,,,,,,,,,
7171,,,,,,,,Programme  04 Teacher Education,,,,,,
7172,,,,,,,"Output:070601 Policies, laws, guidelines, plans and strategies",,,,,,,
7173,,,211101  General Staff Salaries,,0,0,,,,"3,266,568","3,266,568",,"3,266,568","3,266,568"
7174,,,211103  Allowances,,"31,898","36,398",,,,"31,898","36,398",,0,0
7175,,,,,,,Output:070602 Curriculum Training of Teachers,,,,,,,
7176,,,221009  Welfare and Entertainment,,"8,100","8,100",,,,"8,100","8,100",,0,0
7177,,,227001  Travel Inland,,"7,200","7,200",,,,"7,200","7,200",,0,0
7178,,,227002  Travel Abroad,,"4,500",0,,,,"4,500",0,,0,0
7179,,,"227004  Fuel, Lubricants and Oils",,"10,500","10,500",,,,"10,500","10,500",,0,0
7180,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
7181,,,,,,,Output:070604 Training and Capacity Building of Inspectors and Education Managers,,,,,,,
7182,,,211103  Allowances,,"1,000,000",0,,,,"1,000,000",0,,0,0
7183,,,,,,,Output:070651 Uganda National Education Board (UNEB) Services,,,,,,,
7184,,,263106  Other Current grants(current),,"1,825,000","1,825,000",,,,"1,825,000","1,825,000",,0,0
7185,,,,,,,Output:070652 Teacher Training in Multi Disciplinary Areas,,,,,,,
7186,,,263106  Other Current grants(current),,"1,279,000","1,379,000",,,,"1,279,000","1,379,000",,0,0
7187,,,,,,,Output:070653 Training of Secondary Teachers and Instructors (NTCs),,,,,,,
7188,,,263106  Other Current grants(current),,"2,421,510","2,821,510",,,,"2,421,510","2,821,510",,0,0
7189,,,,,,,Output:070654 Curriculum Development and Training (NCDC),,,,,,,
7190,,,264101  Contributions to Autonomous Inst.,,"7,536,000","6,186,000",,,,"7,536,000","6,186,000",,0,0
7191,,,,,,,,Programme  09 Education Standards Agency,,,,,,
7192,,,,,,,,,Education Sector ,,,,,
7193,,,,,,,,,,,,Vote:013,,
7194,,,,Ministry of Education and Sports,,,,,,,,,,
7195,,Vote Function 0706 Quality and Standards,,,,,,,,,,,,
7196,,,,,,,,Programme  09 Education Standards Agency,,,,,,
7197,,,,,,,"Output:070601 Policies, laws, guidelines, plans and strategies",,,,,,,
7198,,,211101  General Staff Salaries,,0,0,,,,"827,678","827,678",,"827,678","827,678"
7199,,,,,,,Output:070604 Training and Capacity Building of Inspectors and Education Managers,,,,,,,
7200,,,211103  Allowances,,"1,130,280","3,090,280",,,,"1,130,280","3,090,280",,0,0
7201,,,263340  Other grants,,"960,000",0,,,,"960,000",0,,0,0
7202,Development Budget Estimates,,,,,,,,,,,,,
7203,,,,,,,,Project  0944 Development of PTCs (0944),,,,,,
7204,,,,,,,"Output:070601 Policies, laws, guidelines, plans and strategies",,,,,,,
7205,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"40,000","19,938",,"40,000","19,938"
7206,,,221012  Small Office Equipment,,0,0,,,,"20,000","5,000",,"20,000","5,000"
7207,,,,,,,Output:070603 Inspection (Primary secondary BTVET) and monitoring of construction works in PTCs,,,,,,,
7208,,,211103  Allowances,,0,0,,,,"72,000","72,000",,"72,000","72,000"
7209,,,,,,,Output:070672 Government Buildings and Administrative Infrastructure,,,,,,,
7210,,,231001  Non-Residential Buildings,,0,0,,,,"4,953,000","4,873,000",,"4,953,000","4,873,000"
7211,,,312206  Gross Tax,,0,0,,,,"80,000","300,000",,"80,000","300,000"
7212,,,,,,,Output:070678 Purchase of Office and Residential Furniture and Fittings,,,,,,,
7213,,,,,,,,,,,"15,000",,,
7214,,,,,,,,Project  0984 Relocation of Shimoni PTC (0984),,,,,,
7215,,,,,,,"Output:070601 Policies, laws, guidelines, plans and strategies",,,,,,,
7216,,,"221011  Printing, Stationery, Photocopying and ",,0,0,,,,"2,200","10,000",,"2,200","10,000"
7217,,,,,,,Output:070603 Inspection (Primary secondary BTVET) and monitoring of construction works in PTCs,,,,,,,
7218,,,211103  Allowances,,0,0,,,,"20,000","20,000",,"20,000","20,000"
7219,,,,,,,Output:070672 Government Buildings and Administrative Infrastructure,,,,,,,
7220,,,231001  Non-Residential Buildings,,0,0,,,,"787,800","750,000",,"787,800","750,000"
7221,,,312206  Gross Tax,,0,0,,,,"100,000","200,000",,"100,000","200,000"
7222,,,,,,,,,Education Sector ,,,,,
7223,,,,,,,,,,,,Vote:013,,
7224,,,,Ministry of Education and Sports,,,,,,,,,,
7225,,Vote Function 0706 Quality and Standards,,,,,,,,,,,,
7226,,,,,,,,"Project  1233 Improving the Training of BTVET Technical Instructors, Health Tutors & Secondary Te",,,,,,
7227,,,,,,,"Output:070601 Policies, laws, guidelines, plans and strategies",,,,,,,
7228,,,,,,,,,,,"2,618,254",,,
7229,,,,,,,Output:070602 Curriculum Training of Teachers,,,,,,,
7230,,,221002  Workshops and Seminars,,"3,520,000","3,006,400",,,,"3,520,000","3,026,400",,0,"20,000"
7231,,,,,,,Output:070672 Government Buildings and Administrative Infrastructure,,,,,,,
7232,,,,,,,,,,,"12,132,602",,,
7233,,,,,,,Output:070678 Purchase of Office and Residential Furniture and Fittings,,,,,,,
7234,,,,,,,,,,,"2,446",,,
7235,,,,,,,,,,,"12,135,048",,,
7236,,,,,,,,,,,Total,,,
7237,,,,,,,,,,"29,905,034",,,,
7238,,,,,,,,,,"29,725,034",,,,
7239,,Vote Function 0707 Physical Education and Sports,,,,,,,,,,,,
7240,Recurrent Budget Estimates,,,,,,,,,,,,,
7241,,,,,,,,Programme  12 Sports and PE,,,,,,
7242,,,,,,,"Output:070701 Policies, Laws, Guidelines and Strategies",,,,,,,
7243,,,211101  General Staff Salaries,,0,0,,,,"77,637","77,637",,"77,637","77,637"
7244,,,211103  Allowances,,"45,788","45,789",,,,"45,788","45,789",,0,0
7245,,,221001  Advertising and Public Relations,,"40,000","20,000",,,,"40,000","20,000",,0,0
7246,,,221012  Small Office Equipment,,"20,000","10,000",,,,"20,000","10,000",,0,0
7247,,,,,,,Output:070702 Support to National Sports Organisations/Bodies for PES activities,,,,,,,
7248,,,211103  Allowances,,"326,800","234,800",,,,"326,800","234,800",,0,0
7249,,,224002  General Supply of Goods and Services,,"437,882","388,547",,,,"437,882","388,547",,0,0
7250,,,,,,,Output:070704 Sports Management and Capacity Development,,,,,,,
7251,,,221002  Workshops and Seminars,,"213,000","155,057",,,,"213,000","155,057",,0,0
7252,,,227001  Travel Inland,,"82,200","82,200",,,,"82,200","82,200",,0,0
7253,,,227002  Travel Abroad,,"30,000","30,000",,,,"30,000","30,000",,0,0
7254,,,"227004  Fuel, Lubricants and Oils",,"9,600","9,600",,,,"9,600","9,600",,0,0
7255,,,228002  Maintenance - Vehicles,,"6,000","6,000",,,,"6,000","6,000",,0,0
7256,,,,,,,,,,,,Vote:013,,
7257,,,,Ministry of Education and Sports,,,,,,,,,,
7258,,Vote Function 0707 Physical Education and Sports,,,,,,,,,,,,
7259,,,,,,,,Programme  12 Sports and PE,,,,,,
7260,,,,,,,Output:070751 Membership to International Sports Associations,,,,,,,
7261,,,262101  Contributions to International Organisat,,"60,000","152,000",,,,"60,000","152,000",,0,0
7262,,,,,,,Output:070752 Management Oversight for Sports Development (NCS),,,,,,,
7263,,,263106  Other Current grants(current),,"2,053,883","1,953,882",,,,"2,053,883","1,953,882",,0,0
7264,Development Budget Estimates,,,,,,,,,,,,,
7265,,,,,,,,Project  1136 Support to Physical Education and Sports,,,,,,
7266,,,,,,,"Output:070701 Policies, Laws, Guidelines and Strategies",,,,,,,
7267,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,0,0,,,,"6,000","6,000",,"6,000","6,000"
7268,,,211103  Allowances,,0,0,,,,"80,000","80,000",,"80,000","80,000"
7269,,,,,,,Output:070772 Government Buildings and Administrative Infrastructure,,,,,,,
7270,,,231001  Non-Residential Buildings,,0,0,,,,"664,000",0,,"664,000",0
7271,,,281503  Engineering and Design Studies and Pl,,0,0,,,,"1,000,000","1,693,800",,"1,000,000","1,693,800"
7272,,,312206  Gross Tax,,0,0,,,,"500,000","300,000",,"500,000","300,000"
7273,,,,,,,Output:070775 Purchase of Motor Vehicles and Other Transport Equipment,,,,,,,
7274,,,231004  Transport Equipment,,0,0,,,,"50,000",0,,"50,000",0
7275,,,,,,,,,,,Total,,,
7276,,,,,,,,,,"5,702,791",,,,
7277,,,,,,,,,,"5,202,791",,,,
7278,,"Vote Function 0749 Policy, Planning and Support Services",,,,,,,,,,,,
7279,Recurrent Budget Estimates,,,,,,,,,,,,,
7280,,,,,,,,Programme  01 Headquarter,,,,,,
7281,,,,,,,Output:074902 Ministry Support Services,,,,,,,
7282,,,221001  Advertising and Public Relations,,"80,000","80,000",,,,"80,000","80,000",,0,0
7283,,,221016  IFMS Recurrent Costs,,"67,150","67,150",,,,"67,150","67,150",,0,0
7284,,,227001  Travel Inland,,"181,148","181,148",,,,"181,148","181,148",,0,0
7285,,,227002  Travel Abroad,,"64,010","18,668",,,,"64,010","18,668",,0,0
7286,,,,,,,,,Education Sector ,,,,,
7287,,,,,,,,,,,,Vote:013,,
7288,,,,Ministry of Education and Sports,,,,,,,,,,
7289,,"Vote Function 0749 Policy, Planning and Support Services",,,,,,,,,,,,
7290,,,,,,,,Programme  01 Headquarter,,,,,,
7291,,,"227004  Fuel, Lubricants and Oils",,"170,000","170,000",,,,"170,000","170,000",,0,0
7292,,,228002  Maintenance - Vehicles,,"68,020","68,020",,,,"68,020","68,020",,0,0
7293,,,,,,,Output:074903 Ministerial and Top Management Services,,,,,,,
7294,,,211101  General Staff Salaries,,0,0,,,,"1,199,664","1,569,210",,"1,199,664","1,569,210"
7295,,,211103  Allowances,,"135,199","211,216",,,,"135,199","211,216",,0,0
7296,,,213001  Medical Expenses(To Employees),,"100,000","24,000",,,,"100,000","24,000",,0,0
7297,,,221003  Staff Training,,"52,517","52,517",,,,"52,517","52,517",,0,0
7298,,,221006  Commissions and Related Charges,,"30,000","30,000",,,,"30,000","30,000",,0,0
7299,,,"221007  Books, Periodicals and Newspapers",,"16,000","16,000",,,,"16,000","16,000",,0,0
7300,,,221008  Computer Supplies and IT Services,,"565,600","519,600",,,,"565,600","519,600",,0,0
7301,,,221009  Welfare and Entertainment,,"42,000","42,000",,,,"42,000","42,000",,0,0
7302,,,"221011  Printing, Stationery, Photocopying and ",,"124,000","124,000",,,,"124,000","124,000",,0,0
7303,,,221012  Small Office Equipment,,"21,400","21,400",,,,"21,400","21,400",,0,0
7304,,,222001  Telecommunications,,"96,000","96,000",,,,"96,000","96,000",,0,0
7305,,,223003  Rent - Produced Assets to private entiti,,"211,000","211,000",,,,"211,000","211,000",,0,0
7306,,,223004  Guard and Security services,,"155,200","155,200",,,,"155,200","155,200",,0,0
7307,,,223005  Electricity,,"165,000","165,000",,,,"165,000","165,000",,0,0
7308,,,223006  Water,,"30,000","30,000",,,,"30,000","30,000",,0,0
7309,,,224002  General Supply of Goods and Services,,"423,848","375,782",,,,"423,848","375,782",,0,0
7310,,,227002  Travel Abroad,,"298,809","298,809",,,,"298,809","298,809",,0,0
7311,,,228001  Maintenance - Civil,,"55,000","55,000",,,,"55,000","55,000",,0,0
7312,,,"228003  Maintenance Machinery, Equipment an",,"75,000","75,000",,,,"75,000","75,000",,0,0
7313,,,282104  Compensation to 3rd Parties,,"50,000","50,000",,,,"50,000","50,000",,0,0
7314,,,,,,,Output:074951 Support to National Commission for UNESCO Secretariat and other organisations,,,,,,,
7315,,,262101  Contributions to International Organisat,,"1,012,308","1,212,308",,,,"1,012,308","1,212,308",,0,0
7316,,,264102  Contributions to Autonomous Inst. Wa,,"13,860","13,860",,,,"13,860","13,860",,0,0
7317,,,,,,,,,Education Sector ,,,,,
7318,,,,,,,,,,,,Vote:013,,
7319,,,,Ministry of Education and Sports,,,,,,,,,,
7320,,"Vote Function 0749 Policy, Planning and Support Services",,,,,,,,,,,,
7321,,,,,,,,Programme  08 Planning,,,,,,
7322,,,,,,,"Output:074901 Policy, consultation, planning and monitoring services",,,,,,,
7323,,,211103  Allowances,,"1,150,400","1,100,400",,,,"1,150,400","1,100,400",,0,0
7324,,,,,,,Output:074902 Ministry Support Services,,,,,,,
7325,,,211101  General Staff Salaries,,0,0,,,,"222,408","222,462",,"222,408","222,462"
7326,,,211103  Allowances,,"89,752","135,957",,,,"89,752","135,957",,0,0
7327,,,221008  Computer Supplies and IT Services,,"50,000","14,500",,,,"50,000","14,500",,0,0
7328,,,221009  Welfare and Entertainment,,"60,000","60,000",,,,"60,000","60,000",,0,0
7329,,,"221011  Printing, Stationery, Photocopying and ",,"60,000","60,000",,,,"60,000","60,000",,0,0
7330,,,221016  IFMS Recurrent Costs,,"200,000","50,000",,,,"200,000","50,000",,0,0
7331,,,227001  Travel Inland,,"93,368","93,368",,,,"93,368","93,368",,0,0
7332,,,227002  Travel Abroad,,"10,800","10,800",,,,"10,800","10,800",,0,0
7333,,,"227004  Fuel, Lubricants and Oils",,"4,800","4,800",,,,"4,800","4,800",,0,0
7334,,,228002  Maintenance - Vehicles,,"1,800","5,400",,,,"1,800","5,400",,0,0
7335,,,"228003  Maintenance Machinery, Equipment an",,"186,691","106,691",,,,"186,691","106,691",,0,0
7336,,,,,,,Output:074904 Education Data and Information Services,,,,,,,
7337,,,"211102  Contract Staff Salaries (Incl. Casuals, T",,"300,000",0,,,,"300,000","300,000",,0,"300,000"
7338,,,211103  Allowances,,"66,000","66,000",,,,"66,000","66,000",,0,0
7339,,,221002  Workshops and Seminars,,"60,113","60,113",,,,"60,113","60,113",,0,0
7340,,,"221011  Printing, Stationery, Photocopying and ",,"90,000","160,000",,,,"90,000","160,000",,0,0
7341,,,221012  Small Office Equipment,,"3,000","3,000",,,,"3,000","3,000",,0,0
7342,,,222001  Telecommunications,,"6,000","6,000",,,,"6,000","6,000",,0,0
7343,,,227001  Travel Inland,,"612,087","742,087",,,,"612,087","742,087",,0,0
7344,,,"227004  Fuel, Lubricants and Oils",,"6,600","6,600",,,,"6,600","6,600",,0,0
7345,,,228002  Maintenance - Vehicles,,"1,800","1,800",,,,"1,800","1,800",,0,0
7346,,,,,,,Output:074906 Education Sector Co-ordination and Planning,,,,,,,
7347,,,211103  Allowances,,"514,059","516,059",,,,"514,059","516,059",,0,0
7348,,,"221011  Printing, Stationery, Photocopying and ",,"160,941","165,941",,,,"160,941","165,941",,0,0
7349,,,222001  Telecommunications,,"6,000","6,000",,,,"6,000","6,000",,0,0
7350,,,225001  Consultancy Services- Short-term,,"150,000",0,,,,"150,000",0,,0,0
7351,,,,,,,,Programme  13 Internal  Audit,,,,,,
7352,,,,,,,"Output:074901 Policy, consultation, planning and monitoring services",,,,,,,
7353,,,211101  General Staff Salaries,,0,0,,,,"58,982","58,982",,"58,982","58,982"
7354,,,,,,,Output:074905 Financial Management and Accounting Services,,,,,,,
7355,,,211103  Allowances,,"56,880","56,880",,,,"56,880","56,880",,0,0
7356,,,"221007  Books, Periodicals and Newspapers",,"5,000","5,000",,,,"5,000","5,000",,0,0
7357,,,221008  Computer Supplies and IT Services,,"10,000","10,000",,,,"10,000","10,000",,0,0
7358,,,"221011  Printing, Stationery, Photocopying and ",,"20,000","20,000",,,,"20,000","20,000",,0,0
7359,,,221012  Small Office Equipment,,"3,000","3,000",,,,"3,000","3,000",,0,0
7360,,,224002  General Supply of Goods and Services,,"54,967","54,967",,,,"54,967","54,967",,0,0
7361,,,227001  Travel Inland,,"97,120","197,120",,,,"97,120","197,120",,0,0
7362,,,,,,,,,Education Sector ,,,,,
7363,,,,,,,,,,,,Vote:013,,
7364,,,,Ministry of Education and Sports,,,,,,,,,,
7365,,"Vote Function 0749 Policy, Planning and Support Services",,,,,,,,,,,,
7366,,,,,,,,Programme  13 Internal  Audit,,,,,,
7367,,,"227004  Fuel, Lubricants and Oils",,"8,000","8,000",,,,"8,000","8,000",,0,0
7368,,,,,,,Output:074952 Memebership to Accounting Institutions (ACCA),,,,,,,
7369,,,262101  Contributions to International Organisat,,"12,000","12,000",,,,"12,000","12,000",,0,0
7370,,,,,,,,,,,Total,,,
7371,,,,,,,,,,"9,935,301",,,,
7372,,,,,,,,,,"9,935,301",,,,
7373,,,,,,,,,,"399,175,989",,,,
7374,,,,,,,,,,"397,095,989",,,,
7375,,,,,,,,,Education Sector ,,,,,
7376,,,,,,,,,,,,Vote:014,,
7377,,,,Ministry of Health,,,,,,,,,,
7378,,Vote Function 0801 Sector Monitoring and Quality Assurance,,,,,,,,,,,,
7379,Recurrent Budget Estimates,,,,,,,,,,,,,
7380,,,,,,,,Programme  03 Quality Assurance,,,,,,
7381,,,,,,,Output:080101 Sector performance monitored and evaluated,,,,,,,
7382,,,211101  General Staff Salaries,,0,0,,,,"101,105","61,000",,"101,105","61,000"
7383,,,211103  Allowances,,"11,000","50,000",,,,"11,000","50,000",,0,0
7384,,,221002  Workshops and Seminars,,"48,000","28,000",,,,"48,000","28,000",,0,0
7385,,,221008  Computer Supplies and IT Services,,"3,000","4,080",,,,"3,000","4,080",,0,0
7386,,,221009  Welfare and Entertainment,,"12,000","6,420",,,,"12,000","6,420",,0,0
7387,,,"221011  Printing, Stationery, Photocopying and ",,"20,000","24,000",,,,"20,000","24,000",,0,0
7388,,,227002  Travel Abroad,,"20,000",0,,,,"20,000",0,,0,0
7389,,,"227004  Fuel, Lubricants and Oils",,"33,000","10,100",,,,"33,000","10,100",,0,0
7390,,,,,,,Output:080102 Standards and guidelines disseminated,,,,,,,
7391,,,227001  Travel Inland,,"23,000","18,000",,,,"23,000","18,000",,0,0
7392,,,"227004  Fuel, Lubricants and Oils",,"21,000","15,500",,,,"21,000","15,500",,0,0
7393,,,228002  Maintenance - Vehicles,,"16,000","7,050",,,,"16,000","7,050",,0,0
